works,value,students,classWidth,classLength
1,3.618915438659455,15,20,30
1,3.6189058330743977,15,20,30
1,3.6189046747327374,16,20,30
1,3.618904872136294,16,20,30
1,5.2941628559060465,16,20,30
1,5.2941616962564,16,20,30
1,5.29416156169238,16,20,30
1,4.226459254056455,17,20,30
1,3.6189047381637787,17,20,30
1,5.294162078579766,17,20,30
1,3.6189047434339097,17,20,30
1,3.618904897754339,17,20,30
1,3.618904421259596,18,20,30
1,3.618904543937896,18,20,30
1,3.6189050637966984,18,20,30
1,3.6189045636493873,18,20,30
1,3.6189045163655167,18,20,30
1,5.294161537397709,19,20,30
1,5.294161654306794,19,20,30
1,5.812280460846368,19,20,30
1,3.6189048471418364,19,20,30
1,5.81227951745035,19,20,30
1,3.6189051617704564,5,20,31
1,3.646030440477736,5,20,31
1,5.2941619759528304,5,20,31
1,3.6189047963682413,5,20,31
1,3.618904623407643,5,20,31
1,15.650154195667604,6,20,31
1,4.226459823645436,6,20,31
1,3.618904658900945,6,20,31
1,13.964548364789902,6,20,31
1,3.6189050116611057,6,20,31
1,3.618904621682536,7,20,31
1,5.294161962560867,7,20,31
1,3.618905106114995,7,20,31
1,13.96454792054725,7,20,31
1,8.197180882373507,7,20,31
1,3.6189064961785697,8,20,31
1,5.294162055891024,8,20,31
1,3.6189044539178696,8,20,31
1,4.226459242535764,8,20,31
1,3.6189047325792596,8,20,31
1,3.646030046808779,9,20,31
1,3.6189044337576157,9,20,31
